factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,migration_success_rate_mean,migration_success_rate_std,migration_success_rate_count,unauthorized_update_rejection_rate_mean,unauthorized_update_rejection_rate_std,unauthorized_update_rejection_rate_count,identity_continuity_score_mean,identity_continuity_score_std,identity_continuity_score_count,persistent_hostility_mean,persistent_hostility_std,persistent_hostility_count,attack_count_mean,attack_count_std,attack_count_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,common_collapse_rate_mean,common_collapse_rate_std,common_collapse_rate_count
policy_mix,cooperative,1.0,0.0,40,0.6666666666666666,0.0,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0,0.0,40,0.0,0.0,40,299.77625,0.19806354199262283,40,0.6166666666666666,0.09397823594805782,40,0.0,0.0,40
policy_mix,heterogeneous,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
policy_mix,opportunistic,0.2125,0.14489164828791806,40,0.15,0.3107751543820654,40,0.0,0.0,40,0.0,0.0,40,0.886424098849177,0.05297560601934959,40,0.03246844051147445,0.007213673191091958,40,39.025,15.242463459286766,40,0.0,0.0,40,0.0,0.0,40,0.25,0.43852900965351455,40
policy_mix,random,0.26875,0.2147411978435485,40,0.2,0.2592999561057949,40,0.0,0.0,40,0.0,0.0,40,0.8760990169263749,0.041826467726342416,40,0.42462808450102607,0.21769927628668304,40,51.325,49.41472193172541,40,0.0,0.0,40,0.0,0.0,40,0.225,0.4229020617662602,40
policy_mix,retaliatory,0.5375,0.17495420646264653,40,0.2833333333333333,0.2565384295031951,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40
population_size,16,0.5640625,0.08893905919223569,40,0.5833333333333333,0.2232880423523612,40,0.0,0.0,40,0.0,0.0,40,0.9655830602573264,0.0,40,0.017097161240456744,0.00587691509067178,40,44.725,25.40138043896686,40,122.45700525169275,87.73513170534044,40,0.07729166666666662,0.022486740315761426,40,0.0,0.0,40
population_size,2,0.775,0.2519157368278895,40,0.6666666666666666,0.0,40,0.0,0.0,40,0.0,0.0,40,0.7246644820586108,0.0,40,0.0,0.0,40,0.0,0.0,40,188.675,137.1987866246712,40,1.0,0.0,40,0.0,0.0,40
population_size,4,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
population_size,8,0.5375,0.10284416890093029,40,0.6083333333333333,0.18315842472299368,40,0.0,0.0,40,0.0,0.0,40,0.9311661205146526,0.0,40,0.019949693081261367,0.009464303720894164,40,33.55,20.870725418326494,40,159.87333333333333,104.76037021742128,40,0.12499999999999996,0.035253436913773174,40,0.0,0.0,40
production_concentration,0.0,0.43125,0.1600030047794776,40,0.4416666666666666,0.2656765807971142,40,0.0,0.0,40,0.0,0.0,40,0.8623322410293055,0.0,40,0.016665637414262864,0.013038709682327216,40,19.575,23.44320742473125,40,93.825,97.0901345697349,40,0.1916666666666666,0.060270047556631595,40,0.0,0.0,40
