factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,plural_survival_mean,plural_survival_std,plural_survival_count,survivor_entropy_mean,survivor_entropy_std,survivor_entropy_count,dominant_survivor_resource_share_mean,dominant_survivor_resource_share_std,dominant_survivor_resource_share_count,attack_rate_per_1000_opportunities_mean,attack_rate_per_1000_opportunities_std,attack_rate_per_1000_opportunities_count,persistent_conflict_pair_share_mean,persistent_conflict_pair_share_std,persistent_conflict_pair_share_count,adaptation_success_rate_mean,adaptation_success_rate_std,adaptation_success_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,value_convergence_mean,value_convergence_std,value_convergence_count
protocol_package,enforceable_contract,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004034471040622696,0.019764790863122137,24,0.8732600864842315,0.33726725230483134,24,1.672016192278555,1.9792234106327624,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
protocol_package,identity_and_trade,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004040926499082683,0.01979641602168754,24,0.8732563935586053,0.337266281816714,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
protocol_package,no_protocol,0.1944444444444444,0.0802572353905128,24,0.20833333333333334,0.41485111699905336,24,0.07171843855196226,0.143233921704798,24,0.8928803255071208,0.23124132170786874,24,2.724418692094936,2.6700684779021935,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24
resource_complementarity,0.0,0.18749999999999997,0.13290238326779874,24,0.375,0.4945353550468402,24,0.09410878131859278,0.12862031635254556,24,0.6850520650234069,0.41256302807485257,24,2.2816053808731396,2.033680980713241,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,8.229166666666666,10.183083976642946,24,0.04166666666666663,0.043126597148888404,24,0.0,0.0,24
resource_complementarity,0.125,0.2708333333333333,0.1458980187804412,24,0.5416666666666666,0.5089773777040515,24,0.08538715478913039,0.10902388980361162,24,0.8631742676799957,0.28469857523777475,24,1.713204281695763,1.7055092885280498,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,46.166666666666664,114.25093155996079,24,0.03055555555555553,0.03921533105835141,24,0.0,0.0,24
resource_complementarity,0.25,0.23611111111111108,0.11954691705946206,24,0.4583333333333333,0.5089773777040516,24,0.07231792493694882,0.10773842950672083,24,0.8766141020710697,0.2769749595252424,24,1.974404546810882,2.6272660764024303,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,50.291666666666664,125.18906715936454,24,0.024999999999999977,0.038385283009127594,24,0.0,0.0,24
resource_complementarity,0.375,0.2083333333333333,0.10131979314572147,24,0.3333333333333333,0.4815434123430768,24,0.03941573556703229,0.08132439822542468,24,0.8937745772737973,0.27982296070399426,24,2.5255500722750197,2.8819474785370214,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,19.104166666666668,77.15399327018811,24,0.019444444444444427,0.03666886247267913,24,0.0,0.0,24
resource_complementarity,0.5,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
resource_complementarity,0.625,0.13888888888888884,0.06344891563557338,24,0.0,0.0,24,0.0,0.0,24,0.8333333333333334,0.3806934938134405,24,2.5080308527672415,2.5926758005114547,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.9166666666666667,5.19963766853595,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
resource_complementarity,0.75,0.1319444444444444,0.06914185283317555,24,0.0,0.0,24,0.0,0.0,24,0.7916666666666666,0.41485111699905336,24,2.7479986145068707,2.5019250247099,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.875,5.076052043451297,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
resource_complementarity,0.875,0.13888888888888884,0.0634489156355734,24,0.0,0.0,24,0.0,0.0,24,0.8333333333333334,0.3806934938134405,24,2.590394029321201,2.4048225525421745,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.875,5.076052043451297,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
resource_complementarity,1.0,0.1458333333333333,0.05630532705768134,24,0.0,0.0,24,0.0,0.0,24,0.875,0.3378319623460881,24,2.566924384367257,2.5357447218676077,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,3.6666666666666665,6.491912471393301,24,0.019444444444444427,0.036668862472679135,24,0.0,0.0,24
resource_coverage_ratio,0.55,0.1666666666666666,0.0,24,0.0,0.0,24,0.0,0.0,24,1.0,0.0,24,2.7879623369370155,2.722395020036031,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.875,5.076052043451297,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
resource_coverage_ratio,0.7,0.13888888888888884,0.06344891563557338,24,0.0,0.0,24,0.0,0.0,24,0.8333333333333334,0.38069349381344053,24,2.501391997085016,2.2083511235651727,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.9166666666666667,5.19963766853595,24,0.008333333333333325,0.022522130823072518,24,0.0,0.0,24
resource_coverage_ratio,0.85,0.1527777777777777,0.04705497521443997,24,0.0,0.0,24,0.0,0.0,24,0.9166666666666666,0.2823298512866399,24,2.8186676707610974,2.8238679271867393,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.625,4.595011472758539,24,0.011111111111111105,0.032102894156205104,24,0.0,0.0,24
resource_coverage_ratio,1.0,0.1319444444444444,0.06914185283317555,24,0.0,0.0,24,0.0,0.0,24,0.7916666666666666,0.4148511169990534,24,2.6918635999247456,2.668972971586729,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,1.9375,5.275687674112505,24,0.011111111111111105,0.032102894156205104,24,0.0,0.0,24
resource_coverage_ratio,1.15,0.15277777777777773,0.08393502586422247,24,0.08333333333333333,0.28232985128663995,24,0.017019069882857413,0.06181005575462581,24,0.8224194754924018,0.37804787603411555,24,2.338321837657714,2.4809925915727713,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,18.3125,77.45599206337583,24,0.016666666666666653,0.03544063553807964,24,0.0,0.0,24
resource_coverage_ratio,1.3,0.18749999999999997,0.10206207261596575,24,0.25,0.4423258684646914,24,0.035478375670545924,0.08493246546032664,24,0.8523626824193329,0.3341757573375134,24,2.018067264447705,2.3916934578836897,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,18.3125,77.25252387884925,24,0.016666666666666653,0.03544063553807964,24,0.0,0.0,24
resource_coverage_ratio,1.45,0.2083333333333333,0.10131979314572147,24,0.3333333333333333,0.4815434123430768,24,0.04205606576533402,0.08648243793310335,24,0.891037957443683,0.28060695731064494,24,2.1580636202092447,2.5522319937007567,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,19.104166666666668,77.15399327018811,24,0.019444444444444427,0.03666886247267913,24,0.0,0.0,24
resource_coverage_ratio,1.6,0.23611111111111108,0.11954691705946206,24,0.4583333333333333,0.5089773777040516,24,0.07640020592592493,0.12628387554799514,24,0.8652623446382871,0.28105625598881306,24,1.8255512255071926,2.362398679753214,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,50.208333333333336,125.46157532909416,24,0.024999999999999977,0.038385283009127594,24,0.0,0.0,24
resource_coverage_ratio,1.75,0.23611111111111108,0.11954691705946206,24,0.4583333333333333,0.5089773777040516,24,0.07708983449820002,0.1278530826641218,24,0.8649298750762108,0.2813195578398229,24,1.6644385094020013,2.0878405362054924,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,50.166666666666664,124.85597499820993,24,0.024999999999999977,0.038385283009127594,24,0.0,0.0,24
threat_signal_visibility,0.0,0.1944444444444444,0.0802572353905128,24,0.20833333333333334,0.4148511169990534,24,0.06214111762310683,0.13261882144425122,24,0.9025859347068109,0.2287075959800966,24,2.6882419930366237,2.6652833270129355,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,61.9375,135.50166953086656,24,0.027777777777777752,0.03890613834145096,24,0.0,0.0,24
threat_signal_visibility,1.0,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
value_distance,0.1,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004034471040622696,0.019764790863122137,24,0.8732600864842315,0.33726725230483134,24,1.512631836447343,1.862932043067282,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
value_distance,0.3,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004034471040622696,0.019764790863122137,24,0.8732600864842315,0.33726725230483134,24,1.9196704997677632,2.2164718463922566,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
value_distance,0.5,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
value_distance,0.7,0.13888888888888884,0.08025723539051277,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.7899257475416416,0.4140256841093954,24,2.8257157496043726,2.776465239809501,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
value_distance,0.9,0.13888888888888884,0.08025723539051277,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.7899257475416416,0.4140256841093954,24,2.9782542802663916,2.81028199229904,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
